,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
1,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M
3,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M
4,2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M
5,2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M
6,2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L
7,2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L
8,2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L
9,2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L
10,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
11,2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M
12,2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M
13,2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M
14,2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M
15,2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M
16,2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L
17,2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M
18,2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M
19,2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M
20,2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M
21,2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M
22,2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,M
23,2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M
24,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
25,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
26,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
27,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
28,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M
29,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
30,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M
31,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M
32,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
33,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
34,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
35,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M
36,2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M
37,2023,SE,FT,Data Analyst,148500,USD,148500,US,0,US,M
38,2023,SE,FT,Data Analyst,149500,USD,149500,US,100,US,M
39,2023,SE,FT,Data Analyst,127075,USD,127075,US,100,US,M
40,2023,SE,FT,Data Analyst,187000,USD,187000,US,0,US,M
41,2023,SE,FT,Data Analyst,128000,USD,128000,US,0,US,M
42,2023,SE,FT,Data Analyst,142000,USD,142000,US,100,US,M
43,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
44,2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M
45,2023,SE,FT,Data Analyst,112000,USD,112000,US,100,US,M
46,2023,SE,FT,Data Analyst,139000,USD,139000,US,0,US,M
47,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M
48,2023,EN,FT,Data Analyst,55000,CAD,40663,CA,0,CA,L
49,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M
50,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
51,2023,SE,FT,Data Analyst,175000,USD,175000,CA,100,CA,M
52,2023,SE,FT,Data Analyst,135000,USD,135000,CA,100,CA,M
53,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M
54,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M
55,2023,MI,FT,Data Analyst,90000,USD,90000,US,0,US,M
56,2023,MI,FT,Data Analyst,75000,USD,75000,US,0,US,M
57,2023,SE,FT,Data Analyst,155000,USD,155000,US,0,US,M
58,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M
59,2023,MI,FT,Lead Data Analyst,68000,USD,68000,US,0,US,L
60,2023,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
61,2023,SE,FT,Data Analyst,90000,USD,90000,US,100,US,M
62,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
63,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
64,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
65,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M
66,2023,EN,FT,Data Analyst,64200,USD,64200,US,100,US,M
67,2023,EN,FT,Data Analyst,56100,USD,56100,US,100,US,M
68,2023,SE,FT,Data Analyst,208450,USD,208450,US,100,US,M
69,2023,SE,FT,Data Analyst,170550,USD,170550,US,100,US,M
70,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
71,2023,SE,FT,Data Analyst,100500,USD,100500,US,0,US,M
72,2023,MI,FT,Data Analyst,182500,USD,182500,US,0,US,M
73,2023,MI,FT,Data Analyst,121500,USD,121500,US,0,US,M
74,2023,MI,FT,Data Analyst,60000,GBP,72914,GB,0,GB,M
75,2023,MI,FT,Data Analyst,45000,GBP,54685,GB,0,GB,M
76,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
77,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
78,2023,EN,FT,Business Data Analyst,20000,EUR,21461,ES,0,ES,M
79,2023,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
80,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
81,2023,SE,FT,Data Analyst,148700,USD,148700,US,0,US,M
82,2023,SE,FT,Data Analyst,125600,USD,125600,US,0,US,M
83,2023,SE,FT,Data Analyst,185000,USD,185000,US,100,US,M
84,2023,SE,FT,Data Analyst,120250,USD,120250,US,100,US,M
85,2023,SE,FT,Data Analyst,208049,USD,208049,US,0,US,M
86,2023,SE,FT,Data Analyst,128500,USD,128500,US,0,US,M
87,2023,SE,FT,Data Analyst,190000,USD,190000,US,100,US,M
88,2023,SE,FT,Data Analyst,95000,USD,95000,US,100,US,M
89,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
90,2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
91,2023,MI,FT,Data Analyst,128000,USD,128000,US,0,US,M
92,2023,MI,FT,Data Analyst,85000,USD,85000,US,0,US,M
93,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
94,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
95,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
96,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
97,2023,MI,FT,Data Analyst,154000,USD,154000,US,0,US,M
98,2023,MI,FT,Data Analyst,143000,USD,143000,US,0,US,M
99,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
100,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
101,2023,MI,FT,Data Analyst,83500,USD,83500,US,100,US,M
102,2023,MI,FT,Data Analyst,52500,USD,52500,US,100,US,M
103,2023,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
104,2023,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
105,2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
106,2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
107,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
108,2023,SE,FT,Data Analyst,100500,USD,100500,US,0,US,M
109,2023,SE,FT,Data Analyst,206500,USD,206500,US,100,US,M
110,2023,SE,FT,Data Analyst,121600,USD,121600,US,100,US,M
111,2023,EN,FT,Data Analyst,95000,USD,95000,US,100,US,M
112,2023,EN,FT,Data Analyst,70000,USD,70000,US,100,US,M
113,2023,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
114,2023,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
115,2023,MI,FT,Data Analyst,206000,USD,206000,US,0,US,M
116,2023,MI,FT,Data Analyst,130000,USD,130000,US,0,US,M
117,2023,SE,FT,Data Analyst,110000,USD,110000,US,100,US,M
118,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
119,2023,MI,FT,Data Analyst,160000,USD,160000,US,0,US,M
120,2023,MI,FT,Data Analyst,112000,USD,112000,US,0,US,M
121,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
122,2023,MI,FT,Data Analyst,85000,USD,85000,US,0,US,M
123,2023,SE,FT,Data Analyst,185000,USD,185000,US,100,US,M
124,2023,SE,FT,Data Analyst,120250,USD,120250,US,100,US,M
125,2023,MI,FT,Financial Data Analyst,130000,USD,130000,US,100,US,L
126,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M
127,2023,SE,FT,Data Analyst,55000,USD,55000,US,0,US,M
128,2023,MI,FT,Data Analyst,75000,USD,75000,US,100,US,M
129,2023,MI,FT,Data Analyst,65000,USD,65000,US,100,US,M
130,2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
131,2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
132,2023,MI,FT,Lead Data Analyst,1500000,INR,18238,IN,50,IN,L
133,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
134,2023,EN,FT,Data Analyst,60000,USD,60000,US,100,US,M
135,2023,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
136,2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
137,2023,SE,FT,Data Analyst,250000,USD,250000,US,100,US,M
138,2023,SE,FT,Data Analyst,138000,USD,138000,US,100,US,M
139,2023,MI,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
140,2023,MI,FT,Data Analyst,100000,USD,100000,CA,100,CA,M
141,2023,SE,FT,BI Analyst,160000,USD,160000,US,0,US,M
142,2023,SE,FT,BI Analyst,135000,USD,135000,US,0,US,M
143,2023,SE,FT,Data Analyst,127000,USD,127000,US,100,US,M
144,2023,SE,FT,Data Analyst,94000,USD,94000,US,100,US,M
145,2023,SE,FT,Data Analyst,161500,USD,161500,US,100,US,M
146,2023,SE,FT,Data Analyst,119500,USD,119500,US,100,US,M
147,2023,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
148,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
149,2023,SE,FT,Data Analyst,185900,USD,185900,US,0,US,M
150,2023,SE,FT,Data Analyst,121700,USD,121700,US,0,US,M
151,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
152,2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
153,2023,EN,FT,Data Analyst,100000,USD,100000,UZ,100,US,L
154,2023,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
155,2023,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
156,2023,EN,FT,Data Analyst,150000,USD,150000,US,0,US,M
157,2023,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
158,2023,MI,FT,Data Analyst,80000,GBP,97218,GB,0,GB,M
159,2023,MI,FT,Data Analyst,40000,GBP,48609,GB,0,GB,M
160,2023,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
161,2023,SE,FT,Data Analyst,85500,USD,85500,US,0,US,M
162,2023,SE,FT,Data Analyst,185900,USD,185900,US,0,US,M
163,2023,SE,FT,Data Analyst,121700,USD,121700,US,0,US,M
164,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
165,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
166,2023,MI,FT,Data Analyst,65000,GBP,78990,GB,100,GB,M
167,2023,MI,FT,Data Analyst,36050,GBP,43809,GB,100,GB,M
168,2023,SE,FT,Data Analyst,180000,USD,180000,US,0,US,M
169,2023,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
170,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
171,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
172,2023,SE,FT,Data Analyst,145000,USD,145000,US,100,US,M
173,2023,SE,FT,Data Analyst,90000,USD,90000,US,100,US,M
174,2023,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
175,2023,SE,FT,Data Analyst,85500,USD,85500,US,0,US,M
176,2023,EN,FT,Data Analyst,30000,USD,30000,IN,50,IN,M
177,2022,EN,PT,Data Analyst,34320,USD,34320,US,100,US,S
178,2022,MI,FT,Business Data Analyst,48000,BRL,9289,BR,100,BR,M
179,2023,SE,FT,Data Analyst,175000,USD,175000,US,100,US,M
180,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
181,2023,SE,FT,Data Analyst,122000,USD,122000,US,100,US,M
182,2023,SE,FT,Data Analyst,93800,USD,93800,US,100,US,M
183,2023,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
184,2023,SE,FT,Data Analyst,112000,USD,112000,US,100,US,M
185,2023,SE,FT,BI Data Analyst,67000,EUR,71897,DE,100,DE,M
186,2023,SE,FT,Data Analyst,1300000,INR,15806,IN,100,IN,S
187,2023,SE,FT,Data Analyst,185900,USD,185900,US,0,US,M
188,2023,SE,FT,Data Analyst,121700,USD,121700,US,0,US,M
189,2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
190,2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
191,2023,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
192,2023,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
193,2023,SE,FT,Data Analyst,152380,USD,152380,US,0,US,M
194,2023,SE,FT,Data Analyst,121904,USD,121904,US,0,US,M
195,2023,SE,FT,Data Analyst,170500,USD,170500,US,100,US,M
196,2023,SE,FT,Data Analyst,85000,USD,85000,US,100,US,M
197,2023,SE,FT,Data Quality Analyst,72200,USD,72200,US,0,US,M
198,2023,SE,FT,Data Quality Analyst,64980,USD,64980,US,0,US,M
199,2023,SE,FT,Data Analyst,179975,USD,179975,US,100,US,M
200,2023,SE,FT,Data Analyst,86466,USD,86466,US,100,US,M
201,2023,MI,FT,Insight Analyst,42000,GBP,51039,GB,0,GB,M
202,2023,MI,FT,Insight Analyst,35000,GBP,42533,GB,0,GB,M
203,2023,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
204,2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
205,2023,SE,FT,Data Analyst,230000,USD,230000,US,0,US,M
206,2023,SE,FT,Data Analyst,180000,USD,180000,US,0,US,M
207,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
208,2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
209,2023,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
210,2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M
211,2023,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
212,2023,SE,FT,Data Analyst,85500,USD,85500,US,0,US,M
213,2023,SE,FT,Data Analyst,110000,USD,110000,US,100,US,S
214,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,S
215,2023,EN,FT,Data Analyst,55000,USD,55000,US,0,US,M
216,2023,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
217,2023,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
218,2023,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M
219,2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
220,2023,MI,FT,Data Analyst,60000,USD,60000,US,0,US,M
221,2023,SE,FT,Data Analyst,142000,USD,142000,US,100,US,M
222,2023,SE,FT,Data Analyst,95000,USD,95000,US,100,US,M
223,2023,MI,FT,Data Analyst,90000,GBP,109371,HR,0,HR,M
224,2023,MI,FT,Data Analyst,60000,GBP,72914,HR,0,HR,M
225,2023,EN,PT,Data Analyst,78000,PLN,17779,PL,100,IN,L
226,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
227,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
228,2023,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
229,2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
230,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
231,2023,EN,FT,Data Analyst,60000,USD,60000,US,100,US,M
232,2023,SE,FT,Data Analyst,227000,USD,227000,US,0,US,M
233,2023,SE,FT,Data Analyst,108000,USD,108000,US,0,US,M
234,2023,SE,FT,Data Analyst,52000,EUR,55800,ES,100,ES,M
235,2023,SE,FT,Data Analyst,48000,EUR,51508,ES,100,ES,M
236,2023,EN,FT,Data Analyst,60000,USD,60000,US,100,US,L
237,2023,EN,FT,Data Analyst,50000,USD,50000,KW,50,US,L
238,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
239,2023,SE,FT,Data Analyst,52500,USD,52500,US,0,US,M
240,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
241,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
242,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
243,2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
244,2023,MI,FT,Data Analyst,165000,USD,165000,US,0,US,M
245,2023,MI,FT,Data Analyst,124000,USD,124000,US,0,US,M
246,2023,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
247,2023,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
248,2023,MI,FT,Product Data Analyst,1350000,INR,16414,IN,100,IN,L
249,2023,MI,FT,Data Analyst,125000,USD,125000,US,0,US,M
250,2023,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
251,2023,MI,FT,Data Analyst,90000,GBP,109371,GB,0,GB,M
252,2023,MI,FT,Data Analyst,70000,GBP,85066,GB,0,GB,M
253,2023,EN,FT,Data Analyst,55000,USD,55000,US,0,US,M
254,2023,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
255,2023,EN,FT,Data Analyst,100000,USD,100000,US,50,US,M
256,2023,SE,FT,Data Analyst,385000,USD,385000,US,0,US,M
257,2023,SE,FT,Data Analyst,60000,USD,60000,US,0,US,M
258,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M
259,2023,MI,FT,Data Analyst,95000,USD,95000,US,100,US,M
260,2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
261,2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
262,2023,SE,FT,Data Analyst,93919,USD,93919,US,100,US,M
263,2023,SE,FT,Data Analyst,51962,USD,51962,US,100,US,M
264,2023,SE,FT,Data Analyst,192500,USD,192500,US,100,US,M
265,2023,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
266,2023,MI,FT,Data Analyst,50000,GBP,60761,GB,0,GB,M
267,2023,MI,FT,Data Analyst,45000,GBP,54685,GB,0,GB,M
268,2023,MI,FT,Data Analyst,130000,USD,130000,US,0,US,M
269,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
270,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
271,2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
272,2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
273,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
274,2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
275,2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
276,2023,SE,FT,Data Analyst,122000,USD,122000,US,0,US,M
277,2023,SE,FT,Data Analyst,94000,USD,94000,US,0,US,M
278,2023,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
279,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
280,2023,MI,FT,Data Analyst,103200,USD,103200,US,0,US,M
281,2023,MI,FT,Data Analyst,61200,USD,61200,US,0,US,M
282,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
283,2023,SE,FT,Data Analyst,87000,USD,87000,US,100,US,M
284,2023,SE,FT,Data Analyst,160000,USD,160000,US,100,US,M
285,2023,SE,FT,Data Analyst,108000,USD,108000,US,100,US,M
286,2023,EN,FT,Data Analyst,30000,USD,30000,AR,100,US,S
287,2023,MI,FT,Data Analyst,206000,USD,206000,US,0,US,M
288,2023,MI,FT,Data Analyst,160000,USD,160000,US,0,US,M
289,2023,MI,FT,Data Analyst,109000,USD,109000,US,0,US,M
290,2023,MI,FT,Data Analyst,79000,USD,79000,US,0,US,M
291,2023,SE,FT,Data Analyst,160000,USD,160000,US,100,US,M
292,2023,SE,FT,Data Analyst,125600,USD,125600,US,100,US,M
293,2023,SE,FT,Data Analyst,141290,USD,141290,US,0,US,M
294,2023,SE,FT,Data Analyst,74178,USD,74178,US,0,US,M
295,2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
296,2023,MI,FT,Data Analyst,52500,USD,52500,US,0,US,M
297,2023,SE,FT,BI Analyst,125000,USD,125000,US,0,US,M
298,2023,SE,FT,BI Analyst,110000,USD,110000,US,0,US,M
299,2023,MI,FT,Data Analyst,90000,USD,90000,US,0,US,M
300,2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
301,2022,EN,FT,Business Data Analyst,48000,USD,48000,US,50,US,L
302,2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
303,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
304,2023,EN,FT,Business Data Analyst,12000,EUR,12877,GR,50,GR,L
305,2023,SE,FT,Data Analyst,48000,EUR,51508,ES,0,ES,M
306,2023,SE,FT,Data Analyst,38000,EUR,40777,ES,0,ES,M
307,2023,SE,FT,Data Analyst,48000,EUR,51508,ES,0,ES,M
308,2023,SE,FT,Data Analyst,38000,EUR,40777,ES,0,ES,M
309,2023,MI,FT,Data Analyst,120000,USD,120000,US,100,US,M
310,2023,MI,FT,Data Analyst,100000,USD,100000,US,100,US,M
311,2023,SE,FT,Data Analyst,145000,USD,145000,US,100,US,M
312,2023,SE,FT,Data Analyst,102500,USD,102500,US,100,US,M
313,2023,MI,FT,Data Analyst,135000,USD,135000,US,0,US,M
314,2023,MI,FT,Data Analyst,105500,USD,105500,US,0,US,M
315,2023,MI,FT,Data Analyst,65000,GBP,78990,GB,0,GB,M
316,2023,MI,FT,Data Analyst,36050,GBP,43809,GB,0,GB,M
317,2023,MI,FT,Data Analyst,116000,USD,116000,US,0,US,M
318,2023,MI,FT,Data Analyst,72000,USD,72000,US,0,US,M
319,2023,MI,FT,Data Analyst,120000,USD,120000,US,0,US,M
320,2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
321,2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
322,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
323,2023,SE,FT,Data Analyst,240500,USD,240500,US,0,US,M
324,2023,SE,FT,Data Analyst,137500,USD,137500,US,0,US,M
325,2022,EN,PT,Data Analyst,24000,EUR,25216,ES,100,US,L
326,2023,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
327,2023,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M
328,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
329,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
330,2022,MI,FT,Business Data Analyst,1440000,INR,18314,IN,50,IN,L
331,2023,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
332,2023,SE,FT,Data Analyst,64000,USD,64000,US,100,US,M
333,2022,MI,FT,Data Analyst,1125000,INR,14307,IN,100,IN,L
334,2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
335,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
336,2022,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
337,2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
338,2022,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
339,2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
340,2022,SE,FT,Data Analyst,149000,USD,149000,US,100,US,M
341,2022,SE,FT,Data Analyst,119000,USD,119000,US,100,US,M
